,Day,kurt_day_mean_min_magn,abs_mean_lastday_mean_magn,abs_mean_lastday_min_magn,energy_sstd_lastday_mean_magn,energy_sstd_lastday_max_min_magn,frequency_center_min_magn,frequency_center_lastday_min_magn,mean_square_frequency_min_magn,mean_square_frequency_lastday_mean_magn,mean_square_frequency_lastday_min_magn,mean_square_frequency_lastday_max_min_magn,frequency_entropy_max_min_magn,frequency_entropy_lastday_mean_magn,frequency_entropy_lastday_max_min_magn,level4d_energy_lastday_mean_magn,level5d_energy_lastday_max_min_magn,ulf_power_lastday_max_min_magn,ulf_kurt_lastday_min_magn,ulf_kurt_lastday_max_min_magn,ulf_energy_smax_lastday_mean_magn,ulf_energy_smax_lastday_max_min_magn,diff_1_lastday_max_min_magn,skew_lastday_max_sound,skew_lastday_min_sound,kurt_max_min_sound,kurt_lastday_max_min_sound,abs_max_max_min_sound,abs_mean_lastday_min_sound,s_zero_rate_max_lastday_mean_sound,power_10_15_day_mean_min_sound,power_35_40_lastday_mean_sound,mean_square_frequency_lastday_mean_sound,mean_square_frequency_lastday_min_sound,mean_square_frequency_lastday_max_min_sound,frequency_entropy_lastday_mean_sound,frequency_entropy_lastday_max_min_sound,level6a_energy_day_mean_min_sound,mean_lastday_max_min_sound,label_M,label_long,label_lati,PC1,PC2,PC3,PC4,PC5
164,105,-1.56512649305556,0.969458724279128,-1.7420010945362,0.361134466055749,2.100196158,51.681,51.9936,49.8305,53.2235216027875,49.9099,160.7491,6.13606,6.32256850174216,5.50721,315.841454843206,5112.1134,2.554112129,-1.96594,2289.79594,0.104295176038327,2.103237205,6.42032,0.29783,0.0129492,0.552771,0.407351,0.00390788,-0.0926188879108613,0.0,3.99562670138889e-09,1.62588515625e-09,103.284423611111,67.0995,75.5565,8.55822994791667,0.80974,0.0004442995208333,0.03722,0.0,-1.0,-1.0,-0.0664400751504133,0.420888801553001,1.47371203962383,-2.00868178841072,-2.8122405204041
165,112,-1.54480094584837,1.20484954084286,-1.7952930945362,0.497079123425993,3.041756683,52.3014,52.7602,49.794,56.9699411552347,49.915,170.372,5.89598,6.38377018050542,5.5287,346.471790151625,4589.81525,1.852533107,-1.72924,2389.10924,0.0898555500794223,1.987198093,6.21557,0.374697,-0.0123931,358.31533,0.475953,1.30830067,-0.0798921679108613,207.272569444444,1.06737584701493e-06,4.10440572916667e-07,96.5270612847222,57.3142,82.2568,8.57637,0.941560000000001,0.0851085648854962,0.0310699999999997,3.6,103.61,30.1,0.830977813961436,1.79766015902871,0.651498645839672,-2.42966901004719,-3.03550129477064
166,119,-1.64487770833333,0.453687979148008,-1.7787650945362,0.22714358657193,1.502998531,52.1727,53.3145,49.7437,50.3802677192982,49.7623,90.3457,5.73424,6.09850010526316,5.73424,146.176075922807,1717.43895,0.023792783,-0.561665,2445.911665,0.0125630067017543,0.36602631,0.63996,0.382101,-0.0131609,0.275292,0.11769,0.1768948,-0.0799927679108613,205.881944444444,9.87200934027777e-07,4.03132236111111e-07,100.177265625,60.9205,79.3755,8.6108015625,0.921420000000001,0.0855330085020243,0.0305099999999995,0.0,-1.0,-1.0,-1.47723443130767,0.5167334046036,-0.591992960816158,-2.7166704616436,-3.19047882578701
167,126,-1.55802729166667,3.22384611379713,0.914110905463797,0.671667903472222,2.6739208,23.0138,54.057,0.000991171,50.1392979166667,50.0449,0.200099999999999,4.44422,6.26852368055556,3.28972,375.674,2261.629,0.10636398,-1.47233,1470.29233,0.0168250493263888,0.19516408,2.16426,0.37921,-0.00524158,0.839758,0.31118,0.2531741,-0.0799790679108613,209.743055555556,9.85249204861111e-07,4.07911017361111e-07,97.6556763888889,56.7026,83.4694,8.51948517361111,1.10942,0.0816249208333333,0.0317400000000001,0.0,-1.0,-1.0,-0.503378639822092,1.04279098971972,-0.938285031890124,-3.07139524811601,-0.752241966144938
168,133,-1.67223041666667,4.14263291935269,2.3686309054638,0.714869129861111,2.0328441,54.4995,58.5354,50.084,52.6436805555556,50.1406,11.3752,5.38236,6.20760708333333,3.40432,488.101055555556,2388.988,0.12084789,-0.907222,1963.747222,0.0345848552777777,0.38400927,2.80479,0.37912,-0.00446764,0.715921,0.441534,0.0980111999999999,-0.0800290679108613,211.555555555556,9.95806447916667e-07,4.24646631944444e-07,96.3777048611111,54.5788,85.5672,8.42942211805556,1.24889,0.0924672104166666,0.0313499999999997,0.0,-1.0,-1.0,-1.33087744325249,2.70344777468911,-1.13050095822845,-2.19797877207148,-0.290626961053353
169,140,-1.68693284722222,3.11128007213046,0.900050905463797,1.02376577430556,12.1685695,54.5399,58.8463,50.0693,62.830475,50.6395,163.3105,5.17802,6.45452159722222,4.33424,408.213979166667,2400.972,0.28437809,-1.19044,2256.36044,0.0541478740486111,1.346740797,9.95053,0.377708,-0.00549524,0.886858,0.756146,0.1494479,-0.0799839679108613,210.861111111111,9.92623111111112e-07,5.03358184027778e-07,95.4439211805556,54.226,85.756,8.40692496527778,1.26622,0.100247352430556,0.0316,0.0,-1.0,-1.0,1.55530046397304,3.45105112281173,1.04497714395266,-2.19751154300698,-1.58652744877967
170,147,-1.68919451388889,0.91818389504713,-1.9382310945362,0.418378795666667,14.450176707,55.1328,55.1328,50.1166,61.6372736111111,50.1166,168.0164,5.09615,6.55468590277778,5.05504,195.435484559028,3240.531948,0.36882302,-0.951608,2342.821608,0.0210822532395833,1.930121251,10.32389,0.37858,-0.0306729,1.690798,1.130573,0.1377345,-0.0799596679108613,208.163194444444,1.01600560069444e-06,5.73899618055556e-07,97.0491211805556,56.5823,83.3027,8.50715434027778,1.19999,0.093089490625,0.0321199999999999,4.0,103.38,31.02,1.01347867697039,2.23132290973586,1.14787154201217,-2.08900337304469,-2.99982382105756
171,154,-1.69166115384615,1.16397356275546,-1.9865575945362,0.516136607818403,11.0550519086,55.3008,57.347,50.1334,57.1035902777778,50.2212,159.7098,5.29517,6.38625357638889,4.61914,269.056706294097,3038.2451,0.30629570173,-1.44219,1876.09219,0.0252015179517395,1.6392495759,7.4017,0.417769,-0.00329588,1.345347,0.856026,0.128427,-0.0814718679108613,194.972222222222,1.04955879166667e-06,4.36899600694444e-07,93.4521541666667,58.2211,77.3199,8.57501774305556,0.87801,0.0714975326388888,0.0379100000000001,0.0,-1.0,-1.0,0.524627700449616,1.92264591214579,1.28180454323581,-1.63317839403504,-2.94949613430674
172,161,-1.61358279816514,1.07476229192996,-2.0193982945362,0.404981649793609,6.2904414074,55.4305,57.3639,50.2197,57.1910458646617,50.2197,85.0673,5.25487,6.43400109022556,4.72679,227.54035461391,2860.5697254,0.364907758624,-1.19563,1977.23563,0.0134146319504285,2.14059957884,4.10976,0.413616,-0.00785915,251.26364,0.973657,0.6486795,-0.0815406679108613,190.169172932331,1.18427884962406e-06,4.49539402255639e-07,93.0027312030075,60.9789,73.5141,8.61500033834586,0.778280000000001,0.0707323353383459,0.0379599999999999,0.0,-1.0,-1.0,-0.664448159820695,1.66239974769053,0.704942553129262,-1.56193661241284,-2.85709870016929
173,168,-1.52711989583333,2.63291877351935,-1.9210440945362,0.460437040170139,2.383497056,54.4192,55.355,50.1066,82.9445309027778,50.185,183.812,5.70291,7.25868371527778,5.66502,1999.53250237847,10401.317682,20.46339964324,-1.94457,1952.87457,2.1323083592035,15.44479949646,4.32784,0.365006,-0.00943191,42.67986,0.591602,0.7362806,-0.0812113679108613,189.944444444444,1.09832443902439e-06,3.99226204861111e-07,87.860915625,61.2102,67.8808,8.58468920138889,0.74968,0.0699310926829268,0.0376600000000002,0.0,-1.0,-1.0,3.64560072756419,6.60501443593484,3.78453473789648,-1.44109740781993,0.317767590959242
