,Day,kurt_day_mean_min_magn,abs_mean_lastday_mean_magn,abs_mean_lastday_min_magn,energy_sstd_lastday_mean_magn,energy_sstd_lastday_max_min_magn,frequency_center_min_magn,frequency_center_lastday_min_magn,mean_square_frequency_min_magn,mean_square_frequency_lastday_mean_magn,mean_square_frequency_lastday_min_magn,mean_square_frequency_lastday_max_min_magn,frequency_entropy_max_min_magn,frequency_entropy_lastday_mean_magn,frequency_entropy_lastday_max_min_magn,level4d_energy_lastday_mean_magn,level5d_energy_lastday_max_min_magn,ulf_power_lastday_max_min_magn,ulf_kurt_lastday_min_magn,ulf_kurt_lastday_max_min_magn,ulf_energy_smax_lastday_mean_magn,ulf_energy_smax_lastday_max_min_magn,diff_1_lastday_max_min_magn,skew_lastday_max_sound,skew_lastday_min_sound,kurt_max_min_sound,kurt_lastday_max_min_sound,abs_max_max_min_sound,abs_mean_lastday_min_sound,s_zero_rate_max_lastday_mean_sound,power_10_15_day_mean_min_sound,power_35_40_lastday_mean_sound,mean_square_frequency_lastday_mean_sound,mean_square_frequency_lastday_min_sound,mean_square_frequency_lastday_max_min_sound,frequency_entropy_lastday_mean_sound,frequency_entropy_lastday_max_min_sound,level6a_energy_day_mean_min_sound,mean_lastday_max_min_sound,label_M,label_long,label_lati,PC1,PC2,PC3,PC4,PC5
371,252,-1.32255532175926,-0.58486479397974,-1.42588534259085,0.0274363733333333,0.31499015,36.0392,54.3087,41.609,55.3257296296296,50.0569,68.0621,4.46755,6.34142597222222,3.95176,15.3497359953704,216.103734,0.0001944359,-1.18533,2460.70533,0.0001465949395833,0.0087678342,1.833831,0.212557,-4.12349,74.191931,21.388102,0.349743,-0.100629617239747,53.0486111111111,3.00816e-09,3.63477381944444e-07,76.1226699074074,40.5722,93.8588,8.71279145833333,1.70837,0.0001112448076388,0.10399,0.0,-1.0,-1.0,-1.98250379641515,-0.667705527098202,-0.775331988068729,-1.74839387999409,-1.49569034713721
372,259,-1.42970309913043,1.95635549803415,-1.48211814259085,0.139121799427083,3.97139529,53.2036,55.3951,50.0309,66.8412229166667,50.0758,92.4412,6.02395,6.93025423611111,6.02395,760.88964453125,6494.690322,10.64669154183,-1.30736,2268.36736,2.00023678967613,8.96439336119,10.580223,0.0844877,-3.98167,1154.16444,20.714705,0.4677,-0.103831081239747,42.0044444444444,8.22076075612952e-07,2.22462645388889e-07,73.4324491111111,27.1267,108.3383,8.7208562,1.68289,0.122437625166884,0.26824,0.0,-1.0,-1.0,2.41153591867024,3.23449525950319,2.59811599761413,-0.693705007653242,0.664923454870218
373,266,-1.43480198090278,0.0976646990758158,-1.32222434259085,0.102855439027778,3.38531355,52.9645,54.3233,50.0102,55.5829515625,50.048,87.121,6.30813,6.36716930555556,5.00015,65.1190434097222,2083.079412,0.0132389708,-1.16247,2509.97247,0.0016247106980902,0.234848117,9.111362,0.935965,-3.9263,145.612553,52.168258,0.357860429,-0.103833024239747,34.9305555555556,2.11396258534722e-06,2.52222044008681e-07,69.6076791666667,30.7563,105.1737,8.82617982638889,1.74161,0.205951358677083,0.26816,0.0,-1.0,-1.0,-0.579400223345481,-0.440148664820035,0.172252246937191,-1.45973377778832,-1.72418617632047
374,273,-1.42434708869565,1.18614740567002,-1.47619724259085,0.133576069388696,1.264234471,52.7363,52.7363,49.9402,60.5601446086957,49.9402,73.9058,5.51858,6.79494623478261,5.39082,395.939976611304,5649.220413,12.7216745093,-1.30117,2378.03117,1.07977186803426,8.9495275298,6.96781,0.219374,-3.86289,68.61237,21.35077,0.357279452,-0.103831805239747,65.8559139784946,1.00452329337634e-06,2.47471777853763e-07,53.6253655913978,32.8792,103.6108,8.94828834408602,1.68953,0.127603253458333,0.26828,0.0,-1.0,-1.0,0.784640233516049,1.6136202186872,1.72772540122568,-0.912936469288507,-0.206350829559036
375,280,-1.47769286933798,0.166039350117482,-1.29217534259085,0.104816173628472,2.54084002,52.7706,53.8559,49.9929,55.1548894097222,50.0156,82.9484,5.67793,6.46932619791667,5.19952,75.5548599479167,2845.9539,0.0051054839,-1.15719,2509.31719,0.0010013554296875,0.1300901953,7.31149,0.277483,-3.79709,595.40882,29.67607,0.375356,-0.103830886239747,77.8576388888889,8.12879258922222e-07,2.68714244677083e-07,69.6684994791667,28.7297,108.5203,8.6878140625,2.40448,0.104834893652391,0.26883,0.0,-1.0,-1.0,-0.528971510454691,-0.0029717159442072,-0.2736531264266,-1.53502892851819,-1.34975827831841
376,287,-1.4885949895288,0.61040427353199,-1.40550934259085,0.249254735721689,2.81885941,53.2224,54.2226,49.9557,55.476383109405,50.0272,89.3798,5.47477,6.3139027831094,4.84758,110.635049303263,2638.63876,0.0043491629,-1.13389,2500.29389,0.0010577399520153,0.2479725431,8.49373,0.173989,-3.74928,52.65927,51.918138,0.558221,-0.103830787239747,41.1573896353167,8.41114198917976e-07,2.58239603702495e-07,70.5103295585413,19.6549,118.0571,8.76374836852207,1.79557,0.157596764294066,0.26909,4.9,105.36,32.38,-0.371917034492528,-0.179484814048279,0.279028809784634,-1.14353762033393,-1.33093341970089
377,294,-1.45342627868852,0.466711781318399,-1.31005134259085,0.0933294436579406,2.496747024,52.8605,55.481,50.0065,55.7755378708551,50.0144,85.3396,4.96057,6.43052848167539,4.7255,109.542551291449,3576.88216,0.0322407531,-1.16613,2514.65613,0.0021737711418848,0.4066005913,9.13569,0.217934,-0.462084,704.94647,14.357,0.377608,-0.103829223239747,75.402380952381,6.69656413578432e-07,2.7448184137381e-07,47.8753288095238,30.3647,33.0658,8.98616559523809,0.944089999999999,0.0260741291997549,0.26885,0.0,-1.0,-1.0,-1.31907577028993,-0.435979643687147,0.795795532923311,-1.21352561201977,-1.48597772444375
378,301,-1.50208274045802,0.0368309477419541,-1.53724564259085,0.0924348250875118,2.18234642445,38.8944,47.1117,15.8829,50.5998442947702,15.8829,115.1721,6.15621,6.52119656101426,5.58975,99.3449810848178,3818.68280204,0.01086415136,-1.45049,2271.11049,0.0045722187780507,0.3737576755,9.38243,16.108609,-4.33644,816.4741852,815.6169692,0.408059,-0.104021787239747,26.9968652037618,5.92101539714286e-07,1.586463006779e-07,73.0953322595611,0.0339908,148.6790092,8.90585865203762,3.76242,0.0242596079774285,0.37631,0.0,-1.0,-1.0,1.937544215096,-1.93547066304266,-0.608877340944268,-2.74204200304734,-0.39501013497079
379,308,-1.35238170123023,-0.0844662357238981,-1.50202104259085,0.112840326904149,6.197806222,47.1873,53.0891,22.1692,54.6064478540773,50.0059,66.6581,5.93076,6.72448510014306,4.67243,88.1495898869814,5694.851246,5.4287985965,-1.28418,1987.83418,0.0105301419782546,6.9105595919,16.450245,0.0964245,-4.75406,637.88149,53.344687,0.381249,-0.104005500039747,40.7079772079772,6.19129568925234e-07,6.49660866383191e-07,67.0052354700855,35.6903,104.3267,8.8836100997151,2.44052,0.194692491886701,0.27186,0.0,-1.0,-1.0,0.730975451810975,-0.299102259609456,0.936180151178161,-1.2467476413492,-1.49838026573167
380,315,-1.27309538385093,-0.444880845947332,-1.53811514259085,0.352407845650036,6.16383734139667,35.3084,57.8696,4.46591,53.0844442515432,8.89098,121.63552,4.35939,6.79193405864198,2.64247333333333,90.2304640081798,3960.71206902333,0.0024260706249998,-1.21396,685.797413333333,0.000248969204427,0.0150601429666666,7.85181583333333,0.049105835,-3.43801,2359.19371,53.089859975,0.405245666666667,-0.103836585239747,27.6120756172839,4.90394267174961e-07,1.7300380883314e-07,64.6142719560185,34.648,105.88175,8.95944270736883,2.19210666666667,0.178694736342259,0.272243333333333,0.0,-1.0,-1.0,0.21732490994862,-1.07394950228773,0.472800578803486,-1.77291235687065,-0.358076484426135
381,322,-1.23916228295718,-0.0166145366012675,-1.46397797592418,0.89284003960026,5.80534573233333,56.83105,60.3040666666667,4.95344666666667,54.2886850694444,50.1691333333333,66.8071166666667,3.04545,6.67898258680556,2.37742666666667,126.929623699797,4112.78196766667,0.0034068514666666,-1.28992333333333,702.607835333333,0.0003730563449652,0.0252733053666666,8.34183416666667,0.105409156666667,-3.36109666666667,513.39193723,92.0261493466667,0.408002333333333,-0.103825283906414,32.6449883449883,5.35230058125965e-07,2.50057742183567e-07,66.3491162004662,36.6530666666667,103.345933333333,8.91365505477855,1.647795,0.156274271976025,0.27931,0.0,-1.0,-1.0,-0.768024710498025,0.441307466723853,1.67174189208887,0.386918602656275,-1.01146556102282
382,329,-1.25072400626677,-0.498869000327169,-1.54230946259085,0.420937349665683,4.29488603449,56.8457,58.4011333333333,15.12455,56.6619987458541,15.12455,126.447783333333,4.20885333333333,6.89263542184909,2.80952333333333,93.8760992515444,3497.70350933667,0.0212126916999999,-1.21706,469.072451633333,0.0003967692759431,0.0302307580333333,9.06894083333333,2.44770172333333,-3.25401,527.921975,527.919683333333,0.9374885,-0.103843519239747,58.2059097688292,9.59928888458282e-07,5.44077287647837e-07,62.8630001677852,36.23125,104.627,8.85331292971663,1.7012725,0.162746763286865,0.2747975,0.0,-1.0,-1.0,-0.233710602505734,0.0782718318554449,0.548344310789501,-0.985098092595124,-0.462832804953188
383,336,-1.19142458549633,-0.555800048690388,-1.51826334259085,0.298433818040628,5.32521992674667,53.51425,53.51425,32.0433,63.2382222800926,35.0861,107.7749,4.07641,6.91511517303241,3.387885,55.8699591135706,3586.1945731,0.368797734525,-1.1818,902.1085,0.0016047428629745,1.05553541295833,11.6176491666667,0.30278955,-3.18584,345.234680933333,37.9681952166667,0.415177986666667,-0.103824786906414,56.0616422423819,9.40975413581465e-07,1.87288170015469e-07,55.511565599558,14.7429,126.9301,8.94794756571296,1.62770666666667,0.148120113635624,0.27427,0.0,-1.0,-1.0,-0.0264570242419849,0.397383293152028,0.402012656761667,-0.650492876506529,-0.33153032541461
384,343,-1.15318585060153,-0.72639050927334,-1.53269874259085,0.165075129192013,5.3992325950575,53.5810666666667,53.6867,33.247875,60.4660858597046,35.177,106.899666666667,4.07553333333333,6.86559663185654,3.170055,26.4629117520717,3073.54847141,0.0175543746666666,-1.11694333333333,884.314533333333,0.0012443834554957,0.4714424425,11.1519775,0.391405033333333,-3.16828333333333,112.4622723,23.2804366666667,0.428952853,-0.103835824239747,51.5231540084388,9.78433184055379e-07,1.73278282887922e-07,53.7966990796413,11.99625,129.151083333333,8.95208905274261,1.69334833333333,0.138101999673237,0.273083333333334,0.0,-1.0,-1.0,-0.387511932675729,0.0896467104256754,0.0754890169535851,-0.597886879605876,-0.206751325284452
